,date,symbol,pos_type,fut_gap_filled
318,2020-12-08,TSLA,long,0.5858473558
319,2020-12-10,TSLA,long,0.7728339705
95,2020-12-15,AAPL,short,-0.9179689691
320,2020-12-21,TSLA,long,-0.9214183241
96,2020-12-22,AAPL,short,-0.420117039
97,2021-01-06,AAPL,long,0.01216030956
321,2021-01-06,TSLA,short,-0.5983741366
567,2021-01-06,MSFT,long,-0.246071846
619,2021-01-06,GOOG,long,0.1849033385
322,2021-01-07,TSLA,short,-0.8877602801
323,2021-01-08,TSLA,short,-0.5593099182
98,2021-01-11,AAPL,long,-0.6573421159
324,2021-01-11,TSLA,long,-0.8357292925
325,2021-01-12,TSLA,short,-0.8152461587
498,2021-01-19,F,short,-0.6086958325
499,2021-01-20,F,short,-0.8095231608
620,2021-01-20,GOOG,short,-0.8539424826
500,2021-01-21,F,short,-0.6190480516
99,2021-01-25,AAPL,short,0.6324993189
568,2021-01-27,MSFT,short,0.3862449003
326,2021-01-28,TSLA,long,-0.3659416434
419,2021-01-28,NFLX,short,-0.5920615391
